HARGA,KT,KM,LT,LB,LOKASI,DIPERBARUI
850 juta,3,2,82,130,Buah Batu,23/12/2025
"1,9 miliar",3,2,79,140,Rancasari,5/12/2025
"1,5 miliar",3,2,80,120,Bandung Kidul,15/12/2025
"19,5 miliar",5,5,822,927,Sukajadi,7/11/2025
"2,2 miliar",5,3,174,300,Lengkong,7/11/2025
5 miliar,5,3,463,500,Buah Batu,7/11/2025
"3,35 miliar",3,2,200,130,Bojongloa Kidul,7/11/2025
2.9 miliar,5,3,280,220,Regol,7/11/2025
"6,5 miliar",7,5,436,300,Regol,7/11/2025
"1,47 miliar",2,2,77,65,Sukajadi,22/11/2025
"2,99 miliar",3,4,239,223,Sukasari,23/12/2025
975 juta,2,2,132,132,Rancasari,23/12/2025
"8,9 miliar",4,3,320,253,Gedebage,19/12/2025
"4,62 miliar",3,2,96,112,Cicendo,18/11/2025
25 miliar,5,3,1205,350,Lengkong,22/12/2025
"4,5 miliar",4,3,415,300,Sukajadi,20/11/2025
"5,55 miliar",5,4,318,300,Sukasari,29/11/2025
21 miliar,3,2,520,220,Sumur Bandung,21/12/2025
399 juta,2,1,84,50,Ujungberung,23/12/2025
"1,97 miliar",3,3,75,120,Regol,17/12/2025
1 miliar,4,2,128,120,Cicendo,23/12/2025
850 juta,2,1,91,60,Buahbatu,16/11/2025
12 miliar,3,2,423,119,Bandung Wetan,23/12/2025
750 juta,3,1,91,70,Arcamanik,23/12/2025
"1,95 miliar",3,3,132,200,Batununggal,2/12/2025
"1,45 miliar",4,2,98,107,Rancasari,8/12/2025
"2,75 miliar",3,2,180,220,Batununggal,24/12/2025
"2,8 miliar",6,5,236,350,Sukasari,26/12/2025
"1,35 miliar",3,3,81,120,Buah Batu,30/12/2025
"1,8 miliar",3,3,144,130,Rancasari,30/12/2025